Token,NER_Tag
A,B-SYMPTOM
X-ray,B-TEST
confirmed,O
the,O
presence,O
of,B-DRUG
C,B-DISEASE
.,B-DISEASE
difficile,B-DISEASE
.,B-DISEASE
,
A,B-SYMPTOM
X-ray,B-TEST
confirmed,O
the,O
presence,O
of,B-SYMPTOM
C,B-DISEASE
.,B-DISEASE
difficile,B-DISEASE
.,B-DISEASE
,
ibuprofen,B-DRUG
was,O
given,O
to,O
treat,O
the,O
migraine,B-DISEASE
and,O
monitor,O
fever,B-SYMPTOM
.,O
,
UTI,B-DISEASE
was,O
suspected,O
after,O
evaluating,O
symptoms,O
like,O
chills,B-SYMPTOM
.,O
,
The,O
patient,O
presents,O
with,O
shortness,B-SYMPTOM
of,B-SYMPTOM
breath,B-SYMPTOM
and,O
was,O
diagnosed,O
with,O
hypertension,B-DISEASE
.,O
,
MRI,B-TEST
was,O
ordered,O
to,O
investigate,O
headache,B-SYMPTOM
.,O
,
A,B-DISEASE
X-ray,B-TEST
confirmed,O
the,O
presence,O
of,B-SYMPTOM
migraine,B-DISEASE
.,O
,
The,O
patient,O
presents,O
with,O
nausea,B-SYMPTOM
and,O
was,O
diagnosed,O
with,O
UTI,B-DISEASE
.,O
,
A,B-SYMPTOM
urinalysis,B-TEST
confirmed,O
the,O
presence,O
of,O
hypertension,B-DISEASE
.,O
,
chills,B-SYMPTOM
and,O
fever,B-SYMPTOM
were,O
reported,O
prior,O
to,O
starting,O
lisinopril,B-DRUG
.,O
,
vancomycin,B-DRUG
was,O
prescribed,O
following,O
the,O
diagnosis,O
of,O
UTI,B-DISEASE
.,O
,
UTI,B-DISEASE
was,O
suspected,O
after,O
evaluating,O
symptoms,O
like,O
chills,B-SYMPTOM
.,O
,
The,O
physician,O
noted,O
nausea,B-SYMPTOM
and,O
suggested,O
a,B-DISEASE
X-ray,B-TEST
.,O
,
The,O
physician,O
noted,O
fatigue,B-SYMPTOM
and,O
suggested,O
a,B-DISEASE
CT,B-TEST
scan,B-TEST
.,O
,
Following,O
a,B-DISEASE
blood,B-TEST
"test,",O
the,O
patient,O
was,O
diagnosed,O
with,O
diabetes,B-DISEASE
and,O
prescribed,O
ibuprofen,B-DRUG
.,O
,
The,O
physician,O
noted,O
headache,B-SYMPTOM
and,O
suggested,O
a,B-SYMPTOM
X-ray,B-TEST
.,O
,
blood,B-TEST
test,B-TEST
was,O
ordered,O
to,O
investigate,O
headache,B-SYMPTOM
.,O
,
The,O
physician,O
noted,O
nausea,B-SYMPTOM
and,O
suggested,O
a,B-SYMPTOM
CT,B-TEST
scan,B-TEST
.,B-DISEASE
,
After,O
multiple,O
episodes,O
of,O
"nausea,",O
lisinopril,B-DRUG
was,O
administered,O
.,O
,
metformin,B-DRUG
was,O
given,O
to,O
treat,O
the,O
diabetes,B-DISEASE
and,O
monitor,O
chills,B-SYMPTOM
.,O
,
The,O
physician,O
noted,O
chills,B-SYMPTOM
and,O
suggested,O
a,B-DISEASE
urinalysis,B-TEST
.,O
,
After,O
multiple,O
episodes,O
of,O
"chills,",O
vancomycin,B-DRUG
was,O
administered,O
.,O
,
The,O
patient,O
presents,O
with,O
fatigue,B-SYMPTOM
and,O
was,O
diagnosed,O
with,O
CNS,B-DISEASE
lymphoma,B-DISEASE
.,O
,
The,O
patient,O
presents,O
with,O
fever,B-SYMPTOM
and,O
was,O
diagnosed,O
with,O
CNS,B-DISEASE
lymphoma,B-DISEASE
.,O
,
headache,B-SYMPTOM
and,O
fever,B-SYMPTOM
were,O
reported,O
prior,O
to,O
starting,O
ibuprofen,B-DRUG
.,B-DISEASE
,
The,O
